

Month,gun
2004-01,41
2004-02,39
2004-03,40
2004-04,40
2004-05,37
2004-06,37
2004-07,36
2004-08,33
2004-09,38
2004-10,41
2004-11,39
2004-12,39
2005-01,37
2005-02,37
2005-03,38
2005-04,38
2005-05,32
2005-06,32
2005-07,32
2005-08,32
2005-09,33
2005-10,37
2005-11,43
2005-12,43
2006-01,44
2006-02,42
2006-03,39
2006-04,39
2006-05,36
2006-06,34
2006-07,34
2006-08,33
2006-09,34
2006-10,36
2006-11,36
2006-12,38
2007-01,35
2007-02,35
2007-03,34
2007-04,40
2007-05,32
2007-06,33
2007-07,33
2007-08,31
2007-09,33
2007-10,34
2007-11,38
2007-12,39
2008-01,39
2008-02,40
2008-03,40
2008-04,37
2008-05,35
2008-06,35
2008-07,35
2008-08,34
2008-09,33
2008-10,37
2008-11,48
2008-12,46
2009-01,44
2009-02,44
2009-03,44
2009-04,42
2009-05,36
2009-06,36
2009-07,35
2009-08,36
2009-09,36
2009-10,38
2009-11,40
2009-12,43
2010-01,40
2010-02,38
2010-03,39
2010-04,36
2010-05,35
2010-06,34
2010-07,34
2010-08,35
2010-09,34
2010-10,36
2010-11,40
2010-12,41
2011-01,52
2011-02,46
2011-03,45
2011-04,45
2011-05,41
2011-06,41
2011-07,42
2011-08,43
2011-09,43
2011-10,44
2011-11,49
2011-12,54
2012-01,50
2012-02,50
2012-03,49
2012-04,47
2012-05,43
2012-06,43
2012-07,52
2012-08,45
2012-09,44
2012-10,46
2012-11,53
2012-12,87
2013-01,100
2013-02,72
2013-03,63
2013-04,61
2013-05,47
2013-06,45
2013-07,45
2013-08,43
2013-09,44
2013-10,43
2013-11,49
2013-12,50
2014-01,46
2014-02,46
2014-03,46
2014-04,43
2014-05,41
2014-06,44
2014-07,44
2014-08,44
2014-09,42
2014-10,44
2014-11,48
2014-12,50
2015-01,47
2015-02,45
2015-03,44
2015-04,41
2015-05,41
2015-06,44
2015-07,47
2015-08,46
2015-09,42
2015-10,55
2015-11,53
2015-12,71
2016-01,62
2016-02,51
2016-03,49
2016-04,45
2016-05,46
2016-06,60
2016-07,52
2016-08,44
2016-09,45
2016-10,49
2016-11,54
2016-12,56
2017-01,51
2017-02,49
2017-03,46
2017-04,44
2017-05,43
2017-06,45
2017-07,43
2017-08,42
2017-09,41
2017-10,55
2017-11,56
2017-12,53
2018-01,45
2018-02,72
2018-03,67
2018-04,49
